timestamp,server_id,cpu_used,q_len,network_in,network_out
62,Server 1,76,1,10,8
62,Server 2,48,1,13,12
63,Server 0,87,1,13,13
63,Server 1,76,1,10,8
63,Server 2,69,1,13,9
64,Server 0,87,1,13,13
64,Server 1,76,1,10,8
64,Server 2,69,1,13,9
65,Server 0,87,1,13,13
65,Server 1,76,1,10,8
65,Server 2,69,1,13,9
66,Server 0,47,1,7,15
66,Server 1,76,1,10,8
66,Server 2,69,1,13,9
67,Server 0,47,1,7,15
67,Server 1,76,1,10,8
67,Server 2,69,1,13,9
68,Server 0,47,1,7,15
68,Server 1,76,1,10,8
68,Server 2,69,1,13,9
69,Server 0,47,1,7,15
69,Server 1,76,1,10,8
69,Server 2,69,1,13,9
70,Server 0,47,1,7,15
70,Server 1,76,1,10,8
70,Server 2,69,1,13,9
71,Server 0,47,1,7,15
71,Server 1,67,1,14,11
71,Server 2,69,1,13,9
72,Server 0,47,1,7,15
72,Server 1,67,1,14,11
72,Server 2,69,1,13,9
73,Server 0,86,1,9,13
73,Server 1,67,1,14,11
73,Server 2,69,1,13,9
74,Server 0,86,1,9,13
74,Server 1,67,1,14,11
74,Server 2,69,1,13,9
75,Server 0,86,1,9,13
75,Server 1,67,1,14,11
75,Server 2,69,1,13,9
76,Server 0,86,1,9,13
76,Server 1,67,1,14,11
76,Server 2,52,1,7,10
77,Server 0,86,1,9,13
77,Server 1,67,1,14,11
77,Server 2,52,1,7,10
78,Server 0,86,1,9,13
78,Server 1,67,1,14,11
78,Server 2,52,1,7,10
79,Server 0,86,1,9,13
79,Server 1,67,1,14,11
79,Server 2,52,1,7,10
80,Server 0,65,1,15,15
80,Server 1,67,1,14,11
80,Server 2,52,1,7,10
81,Server 0,65,1,15,15
81,Server 1,88,1,9,15
81,Server 2,52,1,7,10
82,Server 0,65,1,15,15
82,Server 1,88,1,9,15
82,Server 2,52,1,7,10
83,Server 0,65,1,15,15
83,Server 1,88,1,9,15
83,Server 2,67,1,8,13
84,Server 0,65,1,15,15
84,Server 1,88,1,9,15
84,Server 2,67,1,8,13
85,Server 0,65,1,15,15
85,Server 1,88,1,9,15
85,Server 2,67,1,8,13
86,Server 0,65,1,15,15
86,Server 1,88,1,9,15
86,Server 2,67,1,8,13
87,Server 0,65,1,15,15
87,Server 1,88,1,9,15
87,Server 2,67,1,8,13
88,Server 0,65,1,15,15
88,Server 1,88,1,9,15
88,Server 2,67,1,8,13
89,Server 0,65,1,15,15
89,Server 1,88,1,9,15
89,Server 2,67,1,8,13
90,Server 0,86,1,5,15
90,Server 1,88,1,9,15
90,Server 2,67,1,8,13
91,Server 0,86,1,5,15
91,Server 1,46,1,15,9
91,Server 2,57,1,15,12
92,Server 0,86,1,5,15
92,Server 1,46,1,15,9
92,Server 2,57,1,15,12
93,Server 0,86,1,5,15
93,Server 1,46,1,15,9
93,Server 2,57,1,15,12
94,Server 0,86,1,5,15
94,Server 1,46,1,15,9
94,Server 2,57,1,15,12
95,Server 0,86,1,5,15
95,Server 1,46,1,15,9
95,Server 2,57,1,15,12
96,Server 0,86,1,5,15
96,Server 1,46,1,15,9
96,Server 2,57,1,15,12
97,Server 0,86,1,5,15
97,Server 1,46,1,15,9
97,Server 2,57,1,15,12
98,Server 0,86,1,5,15
98,Server 1,46,1,15,9
98,Server 2,57,1,15,12
99,Server 0,86,1,5,15
99,Server 1,46,1,15,9
99,Server 2,74,1,5,6
100,Server 0,86,1,5,15
100,Server 1,46,1,15,9
100,Server 2,74,1,5,6
101,Server 0,86,1,5,15
101,Server 1,46,1,15,9
101,Server 2,74,1,5,6
102,Server 0,86,1,5,15
102,Server 1,46,1,15,9
102,Server 2,74,1,5,6
103,Server 0,86,1,5,15
103,Server 1,46,1,15,9
103,Server 2,74,1,5,6
104,Server 0,86,1,5,15
104,Server 1,46,1,15,9
104,Server 2,74,1,5,6
105,Server 0,71,1,12,8
105,Server 1,46,1,15,9
