timestamp,server_id,cpu_used,q_len,network_in,network_out
62,Server 1,11,1,8,5
62,Server 2,0,0,0,0
63,Server 0,18,1,15,13
63,Server 1,11,1,8,5
63,Server 2,0,0,0,0
64,Server 0,0,0,0,0
64,Server 1,11,1,8,5
64,Server 2,0,0,0,0
65,Server 0,0,0,0,0
65,Server 1,11,1,8,5
65,Server 2,12,1,8,14
66,Server 0,0,0,0,0
66,Server 1,11,1,8,5
66,Server 2,12,1,8,14
67,Server 0,25,1,11,15
67,Server 1,11,1,8,5
67,Server 2,12,1,8,14
68,Server 0,25,1,11,15
68,Server 1,11,1,8,5
68,Server 2,12,1,8,14
69,Server 0,25,1,11,15
69,Server 1,14,1,8,13
69,Server 2,40,2,19,28
70,Server 0,25,1,11,15
70,Server 1,14,1,8,13
70,Server 2,40,2,19,28
71,Server 0,39,2,24,27
71,Server 1,14,1,8,13
71,Server 2,40,2,19,28
72,Server 0,39,2,24,27
72,Server 1,14,1,8,13
72,Server 2,40,2,19,28
73,Server 0,39,2,24,27
73,Server 1,27,2,15,28
73,Server 2,40,2,19,28
74,Server 0,39,2,24,27
74,Server 1,27,2,15,28
74,Server 2,40,2,19,28
75,Server 0,39,2,24,27
75,Server 1,27,2,15,28
75,Server 2,28,1,11,14
76,Server 0,39,2,24,27
76,Server 1,27,2,15,28
76,Server 2,28,1,11,14
77,Server 0,25,1,11,15
77,Server 1,27,2,15,28
77,Server 2,28,1,11,14
78,Server 0,25,1,11,15
78,Server 1,27,2,15,28
78,Server 2,28,1,11,14
79,Server 0,0,0,0,0
79,Server 1,27,2,15,28
79,Server 2,28,1,11,14
80,Server 0,0,0,0,0
80,Server 1,14,1,8,13
80,Server 2,23,1,14,6
81,Server 0,0,0,0,0
81,Server 1,14,1,8,13
81,Server 2,23,1,14,6
82,Server 0,0,0,0,0
82,Server 1,0,0,0,0
82,Server 2,23,1,14,6
83,Server 0,0,0,0,0
83,Server 1,0,0,0,0
83,Server 2,23,1,14,6
84,Server 0,0,0,0,0
84,Server 1,0,0,0,0
84,Server 2,23,1,14,6
85,Server 0,0,0,0,0
85,Server 1,0,0,0,0
85,Server 2,23,1,14,6
86,Server 0,0,0,0,0
86,Server 1,0,0,0,0
86,Server 2,23,1,14,6
87,Server 0,0,0,0,0
87,Server 1,0,0,0,0
87,Server 2,23,1,14,6
88,Server 0,24,1,13,9
88,Server 1,0,0,0,0
88,Server 2,23,1,14,6
